data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,data101,data102,data103,data104,data105,data106,data107,data108,data109,data110,data111,data112,data113,data114,data115,data116,data117,data118,data119,data120,label
42517.4,42661.3,42631.8,42384.1,42446.3,42280.9,42431.7,42531.7,42596.1,42696.9,42731.4,42735.1,42690.6,42760.3,42651,42825.1,42774.3,42852.4,43153.8,43570.1,43753.4,43677.7,43579.6,44235.5,45187.9,44929.4,45430.1,45434.1,45219.9,45220,45203.1,45500,45817.9,45731.6,45658.7,45495.9,45365.3,45699.6,45301.3,45230.3,45408.8,45014.4,45202.6,45088.6,44823.8,45177.6,45024.9,44989,45183.1,45367.7,45323,45309.2,45226.4,45206.1,45366,45044,45231.7,45383,45186,43736.2,42797.1,42559.5,42205.9,43011.3,43031.9,42929.2,42280.3,42616.6,42748,42954.5,42783.8,42871.9,42901.9,42731,43173.7,43141.4,43188.5,43214.4,43185.6,42795.3,42878.9,43038.9,43104,43205,43399.9,43375.7,43703.7,44089.9,43941.8,44010.9,44074.9,43962.8,44137.8,44456,44336,44156.3,44220.5,43389.5,43512.1,43472,43602.9,43658.6,43862.9,43793.8,43932.8,44168,43640.8,43786,43908.1,44000.4,43499.9,43516.1,43224.4,43611.3,43619.8,43612.3,43965.7,43957.7,43975.9,44156.8,46306.4
42731.4,42735.1,42690.6,42760.3,42651,42825.1,42774.3,42852.4,43153.8,43570.1,43753.4,43677.7,43579.6,44235.5,45187.9,44929.4,45430.1,45434.1,45219.9,45220,45203.1,45500,45817.9,45731.6,45658.7,45495.9,45365.3,45699.6,45301.3,45230.3,45408.8,45014.4,45202.6,45088.6,44823.8,45177.6,45024.9,44989,45183.1,45367.7,45323,45309.2,45226.4,45206.1,45366,45044,45231.7,45383,45186,43736.2,42797.1,42559.5,42205.9,43011.3,43031.9,42929.2,42280.3,42616.6,42748,42954.5,42783.8,42871.9,42901.9,42731,43173.7,43141.4,43188.5,43214.4,43185.6,42795.3,42878.9,43038.9,43104,43205,43399.9,43375.7,43703.7,44089.9,43941.8,44010.9,44074.9,43962.8,44137.8,44456,44336,44156.3,44220.5,43389.5,43512.1,43472,43602.9,43658.6,43862.9,43793.8,43932.8,44168,43640.8,43786,43908.1,44000.4,43499.9,43516.1,43224.4,43611.3,43619.8,43612.3,43965.7,43957.7,43975.9,44156.8,44072.7,43977.8,43903.1,43934,43860.2,43710.8,43472.1,43671.1,43715.8,43669,46077.9
43753.4,43677.7,43579.6,44235.5,45187.9,44929.4,45430.1,45434.1,45219.9,45220,45203.1,45500,45817.9,45731.6,45658.7,45495.9,45365.3,45699.6,45301.3,45230.3,45408.8,45014.4,45202.6,45088.6,44823.8,45177.6,45024.9,44989,45183.1,45367.7,45323,45309.2,45226.4,45206.1,45366,45044,45231.7,45383,45186,43736.2,42797.1,42559.5,42205.9,43011.3,43031.9,42929.2,42280.3,42616.6,42748,42954.5,42783.8,42871.9,42901.9,42731,43173.7,43141.4,43188.5,43214.4,43185.6,42795.3,42878.9,43038.9,43104,43205,43399.9,43375.7,43703.7,44089.9,43941.8,44010.9,44074.9,43962.8,44137.8,44456,44336,44156.3,44220.5,43389.5,43512.1,43472,43602.9,43658.6,43862.9,43793.8,43932.8,44168,43640.8,43786,43908.1,44000.4,43499.9,43516.1,43224.4,43611.3,43619.8,43612.3,43965.7,43957.7,43975.9,44156.8,44072.7,43977.8,43903.1,43934,43860.2,43710.8,43472.1,43671.1,43715.8,43669,43709,43683.6,43621.4,43715.2,43839.2,43872.1,43880.1,43974.4,44009.9,43914,43689.1
45203.1,45500,45817.9,45731.6,45658.7,45495.9,45365.3,45699.6,45301.3,45230.3,45408.8,45014.4,45202.6,45088.6,44823.8,45177.6,45024.9,44989,45183.1,45367.7,45323,45309.2,45226.4,45206.1,45366,45044,45231.7,45383,45186,43736.2,42797.1,42559.5,42205.9,43011.3,43031.9,42929.2,42280.3,42616.6,42748,42954.5,42783.8,42871.9,42901.9,42731,43173.7,43141.4,43188.5,43214.4,43185.6,42795.3,42878.9,43038.9,43104,43205,43399.9,43375.7,43703.7,44089.9,43941.8,44010.9,44074.9,43962.8,44137.8,44456,44336,44156.3,44220.5,43389.5,43512.1,43472,43602.9,43658.6,43862.9,43793.8,43932.8,44168,43640.8,43786,43908.1,44000.4,43499.9,43516.1,43224.4,43611.3,43619.8,43612.3,43965.7,43957.7,43975.9,44156.8,44072.7,43977.8,43903.1,43934,43860.2,43710.8,43472.1,43671.1,43715.8,43669,43709,43683.6,43621.4,43715.2,43839.2,43872.1,43880.1,43974.4,44009.9,43914,43825.6,43893.5,43882,43972.4,44129.2,43970.8,43940.6,43944.7,44003.9,43899.5,43162.9
45408.8,45014.4,45202.6,45088.6,44823.8,45177.6,45024.9,44989,45183.1,45367.7,45323,45309.2,45226.4,45206.1,45366,45044,45231.7,45383,45186,43736.2,42797.1,42559.5,42205.9,43011.3,43031.9,42929.2,42280.3,42616.6,42748,42954.5,42783.8,42871.9,42901.9,42731,43173.7,43141.4,43188.5,43214.4,43185.6,42795.3,42878.9,43038.9,43104,43205,43399.9,43375.7,43703.7,44089.9,43941.8,44010.9,44074.9,43962.8,44137.8,44456,44336,44156.3,44220.5,43389.5,43512.1,43472,43602.9,43658.6,43862.9,43793.8,43932.8,44168,43640.8,43786,43908.1,44000.4,43499.9,43516.1,43224.4,43611.3,43619.8,43612.3,43965.7,43957.7,43975.9,44156.8,44072.7,43977.8,43903.1,43934,43860.2,43710.8,43472.1,43671.1,43715.8,43669,43709,43683.6,43621.4,43715.2,43839.2,43872.1,43880.1,43974.4,44009.9,43914,43825.6,43893.5,43882,43972.4,44129.2,43970.8,43940.6,43944.7,44003.9,43899.5,44031.4,44092,44031.4,43945.7,43974,44076.9,44102.5,44426.7,44418.9,44061,42905
45323,45309.2,45226.4,45206.1,45366,45044,45231.7,45383,45186,43736.2,42797.1,42559.5,42205.9,43011.3,43031.9,42929.2,42280.3,42616.6,42748,42954.5,42783.8,42871.9,42901.9,42731,43173.7,43141.4,43188.5,43214.4,43185.6,42795.3,42878.9,43038.9,43104,43205,43399.9,43375.7,43703.7,44089.9,43941.8,44010.9,44074.9,43962.8,44137.8,44456,44336,44156.3,44220.5,43389.5,43512.1,43472,43602.9,43658.6,43862.9,43793.8,43932.8,44168,43640.8,43786,43908.1,44000.4,43499.9,43516.1,43224.4,43611.3,43619.8,43612.3,43965.7,43957.7,43975.9,44156.8,44072.7,43977.8,43903.1,43934,43860.2,43710.8,43472.1,43671.1,43715.8,43669,43709,43683.6,43621.4,43715.2,43839.2,43872.1,43880.1,43974.4,44009.9,43914,43825.6,43893.5,43882,43972.4,44129.2,43970.8,43940.6,43944.7,44003.9,43899.5,44031.4,44092,44031.4,43945.7,43974,44076.9,44102.5,44426.7,44418.9,44061,43922.8,44070.9,44106.5,44249.9,44125,44243.9,43863.2,43936.2,43641.9,43716,42797.2
42797.1,42559.5,42205.9,43011.3,43031.9,42929.2,42280.3,42616.6,42748,42954.5,42783.8,42871.9,42901.9,42731,43173.7,43141.4,43188.5,43214.4,43185.6,42795.3,42878.9,43038.9,43104,43205,43399.9,43375.7,43703.7,44089.9,43941.8,44010.9,44074.9,43962.8,44137.8,44456,44336,44156.3,44220.5,43389.5,43512.1,43472,43602.9,43658.6,43862.9,43793.8,43932.8,44168,43640.8,43786,43908.1,44000.4,43499.9,43516.1,43224.4,43611.3,43619.8,43612.3,43965.7,43957.7,43975.9,44156.8,44072.7,43977.8,43903.1,43934,43860.2,43710.8,43472.1,43671.1,43715.8,43669,43709,43683.6,43621.4,43715.2,43839.2,43872.1,43880.1,43974.4,44009.9,43914,43825.6,43893.5,43882,43972.4,44129.2,43970.8,43940.6,43944.7,44003.9,43899.5,44031.4,44092,44031.4,43945.7,43974,44076.9,44102.5,44426.7,44418.9,44061,43922.8,44070.9,44106.5,44249.9,44125,44243.9,43863.2,43936.2,43641.9,43716,43363,43527.7,43611.9,43654,43920.3,43979,43870,43731.6,44100,44653.9,42765.7
42783.8,42871.9,42901.9,42731,43173.7,43141.4,43188.5,43214.4,43185.6,42795.3,42878.9,43038.9,43104,43205,43399.9,43375.7,43703.7,44089.9,43941.8,44010.9,44074.9,43962.8,44137.8,44456,44336,44156.3,44220.5,43389.5,43512.1,43472,43602.9,43658.6,43862.9,43793.8,43932.8,44168,43640.8,43786,43908.1,44000.4,43499.9,43516.1,43224.4,43611.3,43619.8,43612.3,43965.7,43957.7,43975.9,44156.8,44072.7,43977.8,43903.1,43934,43860.2,43710.8,43472.1,43671.1,43715.8,43669,43709,43683.6,43621.4,43715.2,43839.2,43872.1,43880.1,43974.4,44009.9,43914,43825.6,43893.5,43882,43972.4,44129.2,43970.8,43940.6,43944.7,44003.9,43899.5,44031.4,44092,44031.4,43945.7,43974,44076.9,44102.5,44426.7,44418.9,44061,43922.8,44070.9,44106.5,44249.9,44125,44243.9,43863.2,43936.2,43641.9,43716,43363,43527.7,43611.9,43654,43920.3,43979,43870,43731.6,44100,44653.9,45118,44925.9,44798.7,44975.3,44943.1,45648,46981.2,47005.9,46799.9,47082,42275.4
42878.9,43038.9,43104,43205,43399.9,43375.7,43703.7,44089.9,43941.8,44010.9,44074.9,43962.8,44137.8,44456,44336,44156.3,44220.5,43389.5,43512.1,43472,43602.9,43658.6,43862.9,43793.8,43932.8,44168,43640.8,43786,43908.1,44000.4,43499.9,43516.1,43224.4,43611.3,43619.8,43612.3,43965.7,43957.7,43975.9,44156.8,44072.7,43977.8,43903.1,43934,43860.2,43710.8,43472.1,43671.1,43715.8,43669,43709,43683.6,43621.4,43715.2,43839.2,43872.1,43880.1,43974.4,44009.9,43914,43825.6,43893.5,43882,43972.4,44129.2,43970.8,43940.6,43944.7,44003.9,43899.5,44031.4,44092,44031.4,43945.7,43974,44076.9,44102.5,44426.7,44418.9,44061,43922.8,44070.9,44106.5,44249.9,44125,44243.9,43863.2,43936.2,43641.9,43716,43363,43527.7,43611.9,43654,43920.3,43979,43870,43731.6,44100,44653.9,45118,44925.9,44798.7,44975.3,44943.1,45648,46981.2,47005.9,46799.9,47082,47015.4,46972.8,46700,46589.2,46802,46949.2,46823.8,46741.4,46801.4,46855,42696.1
44074.9,43962.8,44137.8,44456,44336,44156.3,44220.5,43389.5,43512.1,43472,43602.9,43658.6,43862.9,43793.8,43932.8,44168,43640.8,43786,43908.1,44000.4,43499.9,43516.1,43224.4,43611.3,43619.8,43612.3,43965.7,43957.7,43975.9,44156.8,44072.7,43977.8,43903.1,43934,43860.2,43710.8,43472.1,43671.1,43715.8,43669,43709,43683.6,43621.4,43715.2,43839.2,43872.1,43880.1,43974.4,44009.9,43914,43825.6,43893.5,43882,43972.4,44129.2,43970.8,43940.6,43944.7,44003.9,43899.5,44031.4,44092,44031.4,43945.7,43974,44076.9,44102.5,44426.7,44418.9,44061,43922.8,44070.9,44106.5,44249.9,44125,44243.9,43863.2,43936.2,43641.9,43716,43363,43527.7,43611.9,43654,43920.3,43979,43870,43731.6,44100,44653.9,45118,44925.9,44798.7,44975.3,44943.1,45648,46981.2,47005.9,46799.9,47082,47015.4,46972.8,46700,46589.2,46802,46949.2,46823.8,46741.4,46801.4,46855,46573.3,46519.5,46474.8,46643.9,46186.3,46851,46577.7,46875,46904,46725.9,43014.9
